company,heading,position,image,employees,link,website,social_links,location,company_size,total_raised,skills,founders,founder_links,funding,culture
CodeNotary                         ,CodeNotary - immutable recording of business data                                                     ,Python Developer                                             ,https://photos.angel.co/startups/i/7510418-9b7c8c5290410df371bda9428ab1919d-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/codenotary1              ,https://www.codenotary.com                                               ,"['https://twitter.com/codenotary', 'https://www.linkedin.com/company/codenotary/']                                                                                                                                                                                                           ",['Houston']                                          ,11-50 people    ,$18.5M                                                                          ,"['Enterprise Software', 'Databases', 'Blockchains']                                                                                                                                                                                                                                                ","['Amelie Scheuermeyer', 'Andrea Compagnoni']  ","['https://angel.co/u/amelie-scheuermeyer', 'https://angel.co/u/andrea-compagnoni']   ","['$18.5M', '1 round', 'Series B (Sep 2022)']  ",[]
FRND                               ,FRND is building dating & romance ecosystem for next billion internet users                           ,Python Developer                                             ,https://photos.angel.co/startups/i/6802578-b01e31c120638b294bafeca116e64c24-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/frndapp                  ,https://play.google.com/store/apps/details?id=com.dating.for.all&hl=en_in,"['http://frnd.app/', 'https://twitter.com/_frndapp', 'https://www.linkedin.com/company/frnd-app']                                                                                                                                                                                            ",['Bengaluru']                                        ,11-50 people    ,$6.5M                                                                           ,"['Startup', 'Social Media', 'Mobile Application']                                                                                                                                                                                                                                                  ",                                                ,                                                                                       ,                                                ,
Arbol                              ,Arbol is a platform for parametric insurance                                                          ,Python Developer                                             ,https://photos.angel.co/startups/i/8318494-5fc69064185dcbde1643fbaa6996919c-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/https-www-arbolmarket-com,https://www.arbolmarket.com/                                             ,"['https://twitter.com/arbolmarket?s=20', 'https://www.linkedin.com/company/arbolinc/']                                                                                                                                                                                                       ",['New York City']                                    ,51-200 people   ,$7M                                                                             ,"['Insurance', 'Carbon', 'Weather Insurance', 'Blockchain / Cryptocurrency']                                                                                                                                                                                                                        ",                                                ,                                                                                       ,                                                ,
Impact Analytics                   ,Influencing business decisions by introducing various automation using AI / ML Tech                   ,Python Developer                                             ,https://photos.angel.co/startups/i/1147664-c8adc0af0a27ba68530d97436199645b-medium_jpg.jpg,1001-5000 employees,https://angel.co/company/impact-analytics-1       ,http://www.impactanalytics.co                                            ,[]                                                                                                                                                                                                                                                                                             ,['Bengaluru']                                        ,1001-5000 people,$10M                                                                            ,"['Analytics', 'Predictive Analytics', 'Business Analytics', 'Big Data Analytics']                                                                                                                                                                                                                  ",['Prashant Agrawal']                            ,['https://angel.co/u/prashant-agrawal-3']                                              ,"['$10M', '1 round', 'Series B (Oct 2022)']    ",[]
Babylon                            ,Our mission is to make an accessible and affordable health service for all                            ,Sr Python Developer                                          ,https://photos.angel.co/startups/i/1653071-c1a8042bd251ee4cbaccbc392930db46-medium_jpg.jpg,1001-5000 employees,https://angel.co/company/babylon-holdings         ,https://www.babylonhealth.com/                                           ,"['http://www.babylonhealth.com/blog/', 'https://twitter.com/babylonhealth', 'https://www.facebook.com/pages/babylon-health/273632119481099', 'https://www.linkedin.com/company/babylonhealth/']                                                                                              ","['Austin', 'New York City', 'San Francisco']       ",1001-5000 people,$572M                                                                           ,"['Healthcare', 'Machine Learning', 'Diagnostics', 'Health Care Information Technology', 'Artificial Intelligence', 'Personal Health', 'Technology', 'Health and Wellness', 'Mobile Application']                                                                                                   ",['Ali Parsa']                                   ,['https://angel.co/u/ali-parsa']                                                       ,"['$4.2B', '4 rounds', 'IPO (Jun 2021)']       ","['Health insurance & wellness benefits', 'Lunch and learns', 'Intracompany committees', 'Hiring practices that promote diversity', 'Casual dress']"
Legistify.com                      ,"A single integrated, end to end legal management suite for enterprise customers                     ",Python Developer | B2B SAAS                                  ,https://photos.angel.co/startups/i/965823-ed64aff467ccfb33add9e61562f14795-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/legistify-1              ,https://www.legistify.com                                                ,"['https://twitter.com/legistify', 'https://www.facebook.com/legistify/', 'https://www.linkedin.com/company/get-legal/']                                                                                                                                                                      ",['Gurgaon']                                          ,51-200 people   ,StartupInternetInformation Technology                                           ,"['Startup', 'Internet', 'Information Technology', 'SaaS', 'Enterprise Software', 'Technology', 'Legal Tech', 'B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning']                                                                                                                   ",['Akshat Singhal']                              ,['https://angel.co/u/akshat-singhal']                                                  ,"['4 rounds', 'Series A (Jan 2022)']           ","['Equity benefits', 'Generous vacation', 'Professional development', 'Company events', 'Volunteer opportunities']"
Oval                               ,Oval Money is an app designed to tackle the global issue of financial literacy                        ,Senior Backend Python Developer                              ,https://photos.angel.co/startups/i/978941-5813fcca09a0b3d680fd01c1f6c36a49-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/oval                     ,http://www.ovalmoney.com/                                                ,"['https://blog.ovalmoney.com/', 'https://twitter.com/ovalmoney', 'https://www.facebook.com/ovalmoney/', 'https://www.linkedin.com/company/oval-money']                                                                                                                                       ","['London', 'Turin']                                ",11-50 people    ,$11.3M                                                                          ,"['Limited Liability Company', 'Financial Services', 'Finance', 'Consumer Lending', 'Fin Tech']                                                                                                                                                                                                     ",                                                ,                                                                                       ,                                                ,
System 9                           ,Making Markets Fair and Square                                                                        ,Python Engineer                                              ,https://photos.angel.co/startups/i/6354903-485d77f751499105682a6272b00c79f3-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/system9                  ,http://www.system9.io                                                    ,"['https://twitter.com/sysnine', 'https://www.linkedin.com/company/system9']                                                                                                                                                                                                                  ","['Indianapolis', 'Los Angeles', 'New York City']   ",11-50 people    ,$5.7M                                                                           ,"['Software Development', 'General Trading', 'South East Asia', 'Europe', 'Middle East', 'United States']                                                                                                                                                                                           ",['Sam Blan']                                    ,['https://angel.co/u/samblan1']                                                        ,"['$30.7M', '1 round', 'Series A (Jun 2022)']  ",[]
AssemblyAI (YC S17)                ,API platform for state-of-the-art AI models                                                           ,"Senior Software Engineer, Python (Backend)                 ",https://photos.angel.co/startups/i/4592648-0bbf0acd0f1c0b164cc300c5e7c0ff57-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/assemblyai-1             ,https://www.assemblyai.com                                               ,"['https://www.assemblyai.com/blog', 'https://twitter.com/assemblyai', 'https://www.linkedin.com/company/assemblyai/', 'https://www.producthunt.com/products/assemblyai-speech-to-text-api']                                                                                                  ","['Europe', 'North America', 'San Francisco']       ",51-200 people   ,$59.2M                                                                          ,"['Artificial Intelligence', 'Machine Learning', 'Artificial Intelligence', 'Developer APIs', 'Speech Recognition', 'Developer Tools', 'Deep Learning', 'Artificial Intelligence / Machine Learning']                                                                                               ",['Dylan Fox']                                   ,['https://angel.co/u/dylan-fox-5']                                                     ,"['$59.2M', '3 rounds', 'Series B (Jul 2022)'] ","['Premium healthcare', 'Vision/dental care', 'Equity (stock options)', 'Unlimited pto', 'Annual team retreats']"
SteelEye                           ,We consolidate your data to help you comply smarter                                                   ,Data Engineer - Platform                                     ,https://photos.angel.co/startups/i/4778295-279521cd465fb2101b806e8bbced5c65-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/steeleye-1               ,https://www.steel-eye.com                                                ,"['https://www.steel-eye.com/news?hslang=en', 'https://www.twitter.com/steeleyeltd', 'https://www.linkedin.com/steeleyelimited']                                                                                                                                                              ","['London', 'France', 'Bengaluru']                  ",51-200 people   ,$37.6M                                                                          ,"['Financial Services', 'Big Data', 'Analytics / Data']                                                                                                                                                                                                                                             ","['Matt Smith', 'David Haines']                ","['https://angel.co/u/matt-smith-105', 'https://angel.co/u/david-haines-4']           ","['$55.1M', '4 rounds', 'Series B (Sep 2022)'] ",[]
Joro                               ,Decarbonize your life                                                                                 ,Principal Software Developer                                 ,https://photos.angel.co/startups/i/4488358-8c4c307db831868a75781dc6a8b256ba-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/joro-app                 ,https://www.joro.tech                                                    ,"['https://twitter.com/joroapp', 'https://www.facebook.com/joroapp/', 'https://www.linkedin.com/company/joroapp/']                                                                                                                                                                            ",['San Francisco Bay Area']                           ,11-50 people    ,$10M                                                                            ,"['Mobile App', 'Environment ', 'Mobile', 'Clean Energy', 'Environmental Innovation']                                                                                                                                                                                                               ",                                                ,                                                                                       ,                                                ,
Checkbook                          ,A single API to send a payment - no onboarding/signup/app download required by recipient!             ,Senior Front End Engineer (Core Team member)                 ,https://photos.angel.co/startups/i/469410-9e336dc007526db7b12480847d62d1d4-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/checkbook-io             ,https://www.checkbook.io/                                                ,"['https://www.checkbook.io/blog', 'http://twitter.com/checkbook', 'https://www.facebook.com/checkbook', 'https://www.linkedin.com/company/checkbook', 'https://www.producthunt.com/posts/checkbook']                                                                                         ","['California', 'San Mateo']                        ",11-50 people    ,$10M                                                                            ,"['Startup', 'B2 B', 'SaaS', 'B2 C', 'Financial Services', 'Payments', 'Finance Technology', 'Payment Systems']                                                                                                                                                                                     ",['PJ Gupta']                                    ,['https://angel.co/u/pj-gupta']                                                        ,"['$10M', '1 round', 'Series A (Nov 2021)']    ","['Healthcare benefits', 'Retirement benefits', 'Equity benefits', 'Company meals']"
